date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:24:03	152123/152123	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:08%20GMT	http://droitthemes.com/html/motodeal/img/taxi-price.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/taxi-price.png	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:06	21055/21055	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-1.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-1.jpg	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:08	41976/41976	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:08%20GMT	http://droitthemes.com/html/motodeal/img/mobile-taxi-2.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/mobile-taxi-2.png	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:09	33354/33354	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-2.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-2.jpg	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:09	694211/694211	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:08%20GMT	http://droitthemes.com/html/motodeal/img/luxuary-video.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/luxuary-video.jpg	(from http://droitthemes.com/html/motodeal/luxuary.html)
11:24:09	3112/3112	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2009:30:32%20GMT	http://droitthemes.com/html/motodeal/img/y-footer-logo.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/y-footer-logo.png	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:10	30505/30505	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-3.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/blog/taxi-latest-news/taxi-3.jpg	(from http://droitthemes.com/html/motodeal/taxi-service.html)
11:24:10	35973/35973	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2004:47:06%20GMT	http://droitthemes.com/html/motodeal/vendors/jquery-ui/jquery-ui.css	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/vendors/jquery-ui/jquery-ui.css	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:10	3240/3240	---M--	200	added ('OK')	image/png	date:Thu,%2031%20Dec%202020%2009:30:32%20GMT	http://droitthemes.com/html/motodeal/img/truck-logo.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-logo.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:19	35879/35879	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:08%20GMT	http://droitthemes.com/html/motodeal/img/truck-video.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-video.jpg	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:21	3949/3949	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:10%20GMT	http://droitthemes.com/html/motodeal/img/signature.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/signature.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:30	54077/54077	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:10%20GMT	http://droitthemes.com/html/motodeal/img/truck-check-1.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-check-1.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:32	157420/157420	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/truck-slider-1.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/truck-slider-1.jpg	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:36	155451/155451	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/truck-slider-3.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/truck-slider-3.jpg	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:45	79562/79562	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:16%20GMT	http://droitthemes.com/html/motodeal/img/truck-type/truck-1.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-type/truck-1.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:46	99561/99561	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:10%20GMT	http://droitthemes.com/html/motodeal/img/truck-check-2.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-check-2.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:47	66468/66468	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:16%20GMT	http://droitthemes.com/html/motodeal/img/truck-type/truck-2.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-type/truck-2.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:56	68759/68759	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:16%20GMT	http://droitthemes.com/html/motodeal/img/truck-type/truck-3.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/truck-type/truck-3.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:24:57	4345/4345	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2004:47:06%20GMT	http://droitthemes.com/html/motodeal/vendors/country-selector/dd.css	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/vendors/country-selector/dd.css	(from http://droitthemes.com/html/motodeal/tractor.html)
11:24:58	10193/10193	---M-Z	200	added ('OK')	text/css	date:Sun,%2001%20Dec%202019%2004:47:06%20GMT	http://droitthemes.com/html/motodeal/vendors/country-selector/flags.css	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/vendors/country-selector/flags.css	(from http://droitthemes.com/html/motodeal/tractor.html)
11:25:08	520714/520714	---M-Z	200	added ('OK')	application/javascript	date:Sun,%2001%20Dec%202019%2004:47:06%20GMT	http://droitthemes.com/html/motodeal/vendors/jquery-ui/jquery-ui.js	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/vendors/jquery-ui/jquery-ui.js	(from http://droitthemes.com/html/motodeal/truck.html)
11:25:11	382759/382759	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/truck-slider-2.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/truck-slider-2.jpg	(from http://droitthemes.com/html/motodeal/truck.html)
11:25:32	287584/287584	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:08%20GMT	http://droitthemes.com/html/motodeal/img/most-service-truck.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/most-service-truck.png	(from http://droitthemes.com/html/motodeal/truck.html)
11:25:41	269616/269616	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/tractor-slider-1.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/tractor-slider-1.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:25:46	25728/25728	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/explore/explore-1.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/explore/explore-1.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:25:51	29211/29211	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/explore/explore-2.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/explore/explore-2.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:25:56	21592/21592	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/explore/explore-3.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/explore/explore-3.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:26:00	24720/24720	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/explore/explore-4.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/explore/explore-4.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:26:01	310562/310562	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/tractor-slider-3.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/tractor-slider-3.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:26:03	342704/342704	---M--	200	added ('OK')	image/jpeg	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/home-slider/tractor-slider-2.jpg	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/home-slider/tractor-slider-2.jpg	(from http://droitthemes.com/html/motodeal/tractor.html)
11:26:04	4560/4560	---M--	200	added ('OK')	image/png	date:Sun,%2001%20Dec%202019%2004:47:14%20GMT	http://droitthemes.com/html/motodeal/img/tractor-brand/brand-1.png	C:/My%20Web%20Sites/bussss/droitthemes.com/html/motodeal/img/tractor-brand/brand-1.png	(from http://droitthemes.com/html/motodeal/tractor.html)
